Feature,Coefficient,Importance
categorical__OverTime_Yes,1.628473600283429,1.628473600283429
categorical__BusinessTravel_Travel_Frequently,1.5975828451924006,1.5975828451924006
categorical__JobRole_Laboratory Technician,1.5692702099481357,1.5692702099481357
categorical__JobRole_Sales Representative,1.2747786365340634,1.2747786365340634
categorical__JobRole_Research Director,-1.1039452283718107,1.1039452283718107
categorical__EducationField_Other,-1.0248834293704172,1.0248834293704172
categorical__BusinessTravel_Travel_Rarely,0.9060457581672327,0.9060457581672327
categorical__MaritalStatus_Single,0.8428480505294142,0.8428480505294142
categorical__JobRole_Human Resources,0.6307430864961188,0.6307430864961188
numeric__TotalWorkingYears,-0.6090269566876825,0.6090269566876825
numeric__JobLevel,0.5528379911102141,0.5528379911102141
numeric__YearsSinceLastPromotion,0.4896444851496465,0.4896444851496465
numeric__NumCompaniesWorked,0.46205029530391023,0.46205029530391023
categorical__EducationField_Life Sciences,-0.44287556405115086,0.44287556405115086
numeric__YearsWithCurrManager,-0.4330825248539152,0.4330825248539152
numeric__EnvironmentSatisfaction,-0.4178778792928032,0.4178778792928032
categorical__Department_Sales,0.4103213347133018,0.4103213347133018
categorical__Department_Research & Development,-0.40405801112021494,0.40405801112021494
categorical__EducationField_Medical,-0.3883832107113838,0.3883832107113838
numeric__JobSatisfaction,-0.386389358091439,0.386389358091439
categorical__MaritalStatus_Married,0.3240481215005646,0.3240481215005646
categorical__JobRole_Research Scientist,0.315091091036821,0.315091091036821
numeric__DistanceFromHome,0.31242853116268426,0.31242853116268426
categorical__Gender_Male,0.3093852538928261,0.3093852538928261
numeric__JobInvolvement,-0.28296836723641916,0.28296836723641916
numeric__Age,-0.2798103364526148,0.2798103364526148
numeric__MonthlyIncome,-0.25075934035976255,0.25075934035976255
numeric__RelationshipSatisfaction,-0.24010887544660678,0.24010887544660678
numeric__PercentSalaryHike,-0.23796776090529378,0.23796776090529378
numeric__YearsAtCompany,0.23442122948712865,0.23442122948712865
numeric__YearsInCurrentRole,-0.22929300179940446,0.22929300179940446
numeric__StockOptionLevel,-0.22705716727920386,0.22705716727920386
numeric__DailyRate,-0.22428629974301126,0.22428629974301126
numeric__WorkLifeBalance,-0.22183164280377118,0.22183164280377118
categorical__EducationField_Marketing,-0.18490584666953572,0.18490584666953572
numeric__TrainingTimesLastYear,-0.15615776701981618,0.15615776701981618
numeric__PerformanceRating,0.15032882567261038,0.15032882567261038
categorical__JobRole_Manufacturing Director,0.12343068681485889,0.12343068681485889
categorical__EducationField_Technical Degree,0.11110485524663875,0.11110485524663875
categorical__JobRole_Sales Executive,0.1017168386686955,0.1017168386686955
numeric__EmployeeNumber,0.07289907195298752,0.07289907195298752
categorical__JobRole_Manager,-0.06477007343451019,0.06477007343451019
numeric__HourlyRate,-0.05797179744887875,0.05797179744887875
numeric__MonthlyRate,0.02467096847844368,0.02467096847844368
numeric__Education,0.01671549118318697,0.01671549118318697
numeric__EmployeeCount,0.0,0.0
numeric__StandardHours,0.0,0.0
